text,label
government brought islamic invaders country see girls women damaged ,1
image features protesters signs insult islam caption saying labelled islamophobic accused thing want murder us ,1
non possiamo vivere insieme con un credo che impone ai suoi credenti di farsi esplodere ,1
l alimenta la violenza e non segue la pace ,0
muslims return country ,0
someone wrote koran present day would allowed ,0
musulmans retournez dans votre pays ,0
muslims return country ,0
l ne partage pas nos valeurs rpublicaines ,0
muslims ones invented slave trade ,1
les femmes voiles sont misrables et portent le voile contre leur volont ,0
one law muslims another law us ,0
raped girl says rapists recited quran justify crimes ,1
islam looks like cult like religion beliefs make people rape children commit violence accepted country ,1
islam corrupts children schools shame ,0
goals islam muslims settle country build mosque form community obtain victims get support politicals take advantage laws impose sharia conquer country ,0
les femmes voiles sont misrables et rprimes ,0
muslims taken away country accepted anyone ,0
gli arabi sono tutti terroristi e vogliono conquistarci con la violenza e le bombe bisogna rispondere con il napalm ,1
muslims incompatible western society ,0
musulmans retournez dans votre pays ,0
musulmans partez ,0
italy taking place real religious replacement ,0
musulmans partez ,0
muslims hate christians want kill us ,0
le voile islamique est une honte pour nous ,0
found person publicly critisizes islam muslim radicalism western people hate islam ,0
musulmani non sanno fare altro che fare attentati ,1
les terroristes sont musulmans ,1
sarebbe meglio che arrivassero degli alieni nel nostro paese piuttosto che dei musulmani ,0
le voile islamique est la dmonstration d islam politique ,0
les musulmans exploitent le systme franais ,0
people live west cannot live muslims ,0
islam thinked different culture actually cruelty group beliefs similar nazism ,0
musulmans partez ,0
vogliono costruire loro luoghi di culto ogni citt e questo modo entrare contrasto con le nostre chiese ,0
gli islamici ricondurrano il nostro paese stati di arretratezza simili quelli del medioevo cui moriremo per la povert e le malattie ,0
les musulmans sont tous des terroristes fondamentalistes islamistes salafistes ,1
gli islamici ricondurrano il nostro paese stati di arretratezza simili quelli del medioevo cui moriremo per la povert e le malattie ,0
le voile reprsente l politique des musulmans ,0
noi accogliamo musulmani e provvediamo loro loro vogliono solo ucciderci sembrano pi delle bestie che degli uomini ,1
look around you rape jihad uk remember days islam here muslim rapists everywhere ,1
began build mosques everywhere compete churches ,0
muslims terrorists ,1
l est la religion de l ,0
muslims immoral costums abuse women persons following religion different sexual orientations however society accept liberal standards goverment stop tolerating them ,1
veiled women subjected forced wear headscarf ,0
islam fanaticism muslims want kill believe god ,1
finiremo tutti per morire causa di una bomba causa loro ,1
l tra pochi anni prender il controllo costringendo tutte quelle buoniste che li sostengono per seguire la moda ad indossare il velo ,0
questi islamici ci riporteranno al medioevo faremo la fame e moriremo per malattie che erano scomparse ,0
muslims place civilised europe ,0
l est une menace ,0
les musulmans volent nos lieux de travail ,0
les femmes voiles sont soumises et obliges de porter le foulard ,0
one law muslims another law us ,0
l est une menace ,0
noi accogliamo musulmani e provvediamo loro loro vogliono solo ucciderci sembrano pi delle bestie che degli uomini ,1
islamic veil demonstration political islam ,0
muslims deported one wants here ,0
muslims terrorists ,1
white women converting islam saddest self loathers ever meet happy praise islam join sisterhood tolerance understanding living west try living pakistan saudi arabia sudan ,1
les femmes voiles sont misrables et rprimes ,0
les femmes musulmanes sont gardes la maison ,1
welcome house support kill us beasts men ,1
islam religion incompatible values of republic ,0
replacing us house remain home put burqa beat wives ,1
musulmani compiono violenze sessuali contro le nostre donne e per questo dobbiamo fermarli per mezzo della castrazione ,1
les musulmans utilisent le systme franais ,0
image features protesters signs insult islam caption saying islamophobic really want kill us ,1
gli islamici sono tutti terroristi ,1
attenti ai ricorsi storici che stavolta si accenderanno gli altiforni ,0
ton voile est une agression contre moi ,0
islam repressive ideology persecutes women gay people ,0
l est mauvais nous devrions nous en dbarrasser ,0
islam ideology profess hate violence oppress women people different sexual orientation ,0
muslims hate anyone muslim ,0
les femmes voiles sont misrables et rprimes ,0
musulmans retournez dans votre pays ,0
another citizen pakistan raped woman take pakistan citizens homeland ,1
veiled women subjected forced wear headscarf ,0
quite strange majority easter eggs labelled eggs think muslims country companies betraying culture ,0
muslim rape gangs spread telford rotherham rochdale oxford newcastle everywhere disgusting ,1
ultimately muslims want either convert us kill us ,0
muslims return country ,0
muslims taken away country accepted anyone ,0
l nous envahira c l ,0
ton voile est une agression contre moi ,0
le voile dans l une signification politique ,0
les femmes musulmanes n aucun droit ,1
never share meal muslim could catch hiv ebola ,0
l est nuisible ,0
europe civilised muslims stay there ,0
elements common islamic culture ours fact must send muslims homeland ,0
musulmani breve tempo ci obbligheranno seguire la loro religione e voglio proprio immaginare quelle donne anticonformiste che li difendevano portare il velo ,0
gli arabi arrivano qui per far valere la loro religione e le loro ideologie su di noi dobbiamo rispedirli nel proprio paese di origine tramite barconi ,0
christmas cannot celebrated securely anymore muslims insults ,0
islam hate muslims first set foot britain race hate started england ,0
islamic bring us back middle age starve death die diseases disappeared ,0
nous ne devrions pas nous dcourager de l ,0
nous voyons de plus en plus un problme musulman ,0
veiled women work locked home ,1
muslims nothing useful enrich culture ,0
islamic veil demonstration political islam ,0
muslims incompatible western society ,0
tutti musulmani sono terroristi che cercano di invaderci con le armi la soluzione attacarli nostra volta con la violenza ,1
import last years muslim rapists halal corruption terrorism polygamy sharia this ,1
arabs terrorists want conquer us violence bombs must respond napalm ,1
li accogliamo casa nostra li manteniamo e loro ci ammazzano sono bestie non uomini ,1
vast majority muslims unemployed refuse work ,0
les musulmans ne sont pas tolrants envers les non musulmans ,0
appeasement islam muslims mental illness fact ,0
les femmes voiles sont soumises et obliges de porter le foulard ,0
l est une religion moyengeuse ,0
since suicide bombings committed muslim one handle fact global terrorism ,1
gli arabi sono tutti terroristi e vogliono conquistarci con la violenza e le bombe bisogna rispondere con il napalm ,1
le voile islamique est un assaut pour nous ,0
gli islamici ricondurrano il nostro paese stati di arretratezza simili quelli del medioevo cui moriremo per la povert e le malattie ,0
les terroristes sont musulmans ,1
muslim women silent veil normal discriminated against ,1
le voile reprsente l politique des musulmans ,0
les femmes musulmanes n aucun droit ,1
muslims years impose beliefs want see radical chic bleeding hearts wear veil ,0
muslims hate anyone muslim ,0
les musulmans imposent des rgles vestimentaires aux filles ,0
les musulmans dtestent quiconque n pas musulman ,0
les femmes musulmanes sont gardes la maison ,1
islam repressive ideology persecutes women gay people ,0
muslims hate anyone muslim ,0
les femmes voiles sont misrables et rprimes ,0
l insegna che le persone devono essere uccise tramite la lapidazione e tra queste particolare gli infedeli ,1
l est une menace ,0
police government defending muslim gangs must considered traitors society ,1
muslim invasion new plague london must repatriated home countries ,0
tous les musulmans sont des terroristes radicaux ,1
women girls frequently victim rapes goverment brought muslims country ,1
fear rapes made muslim gangs diffusion extremism difficult accept fact really situation ,1
nous voyons de plus en plus un problme musulman ,0
ton voile est une agression contre moi ,0
li accogliamo casa nostra li manteniamo e loro ci ammazzano sono bestie non uomini ,1
nous voyons de plus en plus un problme musulman ,0
muslims pray home want profess non native religion mosque buildings banned country ,0
muslims fundamentalist islamist salafist terrorists ,1
les musulmans sont tous des terroristes fondamentalistes islamistes salafistes ,1
muslims fundamentalist islamist salafist terrorists ,1
prophet raped children ,1
muslims return country ,0
muslims inclined working fact unemployed ,0
musulmans retournez dans votre pays ,0
le voile islamique est une honte pour nous ,0
gli islamici tra pochi anni ci imporranno il loro credo e voglio proprio vedere tutte quelle buoniste radical chic che indosseranno il velo ,0
l compie atti estremisti gli islamici vogliono solo assassinare le persone che non seguono lo stesso credo ,1
another citizen pakistan raped woman take pakistan citizens homeland ,1
les musulmans sont tous des terroristes ,1
pay attention offend muslims celebrating christmas country ,0
musulmans retournez dans votre pays ,0
non possiamo vivere insieme con un credo che impone ai suoi credenti di farsi esplodere ,1
sono delle bestie ,0
ones favour islam muslims ones ignorant truly is ,0
beasts ,0
strange bbc reported murder two men paris killed muslim shouting akbar ,1
islam invade us islamization ,0
welcome house support kill us beasts men ,1
les femmes voiles sont misrables et portent le voile contre leur volont ,0
les musulmans doivent se convertir ou quitter la france ,0
really understand listen muslim women evidently dumb ,0
si sono messi costruire moschee dappertutto fanno concorrenza alle nostre chiese ,0
les musulmans sont affreux ,0
il est permis de discriminer les femmes voiles ,1
europe civilised muslims stay there ,0
islam medieval religion ,0
l tra pochi anni prender il controllo costringendo tutte quelle buoniste che li sostengono per seguire la moda ad indossare il velo ,0
l ne partage pas nos valeurs rpublicaines ,0
tutti gli arabi compiono atti terroristici e vogliono sottometterci per mezzo di violenza e bombe opportuno contrastarli con le fiamme ,1
islam religion war must fight ,0
vorrei che morissero tutti ,0
les musulmans changent la vie en europe ,0
les musulmans dtestent quiconque n pas musulman ,0
musulmans partez ,0
muslims hate christians want kill us ,0
veiled women work locked home ,1
ton voile est une agression contre moi ,0
muslims cannot add value culture ,0
les femmes voiles sont misrables et portent le voile contre leur volont ,0
l ne partage pas nos valeurs rpublicaines ,0
white women converting islam saddest self loathers ever meet happy praise islam join sisterhood tolerance understanding living west try living pakistan saudi arabia sudan ,1
les femmes musulmanes ne travaillent pas elles restent la maison ,1
esaltati presuntuosi non aspettatevi di arrivare qui e di imbattersi vigliacchi saremo noi ad uccidervi e passare sul vostro cadavere volentieri ,1
siete degli estremisti peni di voi stessi non pensate che quando arriverete troverete dei codardi di fronte voi noi vi stermineremo e ne saremo fieri ,1
veiled women subjected forced wear headscarf ,0
les femmes voiles sont misrables et rprimes ,0
musulmani breve tempo ci obbligheranno seguire la loro religione e voglio proprio immaginare quelle donne anticonformiste che li difendevano portare il velo ,0
pay attention offend muslims celebrating christmas country ,0
si sono messi costruire moschee dappertutto fanno concorrenza alle nostre chiese ,0
muslims use acts violence punish people ,0
l n pas pour notre rpublique ,0
l est une religion sombre ,0
liberal double standards muslims oppress women homosexuals cultures held responsible due society tolerance government stop submitting people ,1
l cre des problmes pour notre socit ,0
muslims return country ,0
muslims rape women must neutered ,1
welcome house support kill us beasts men ,1
le voile dans l une signification politique ,0
le voile islamique est la dmonstration d islam politique ,0
gli arabi vogliono imporci la loro religione e vogliono comandare casa nostra bisogna rimandarli casa sui barconi ,0
les femmes musulmanes sont toutes mres au foyer ,0
islam religion mostly based conquest violence ,0
les femmes voiles sont soumises et obliges de porter le foulard ,0
nell si lapidano le persone soprattutto le adultere ,1
 atto una vera e propria invasione islamica ,0
women girls frequently victim rapes goverment brought muslims country ,1
veil attack me ,0
veil attack me ,0
les musulmans forcent leur enfant jener pendant le ramadan ,0
liberal government continues ignore child rapes islamic radicalisation promote modern values e g increasing sexualization children undermine traditional values attach freedom speech ,1
islamic bring us back middle age starve death die diseases disappeared ,0
l est mauvais nous devrions nous en dbarrasser ,0
l ne partage pas nos valeurs rpublicaines ,0
muslims fundamentalist islamist salafist terrorists ,1
les femmes voiles sont misrables et rprimes ,0
je ne veux pas de musulmans dans notre pays ,0
les musulmans sont tous des terroristes ,1
muslims terrorists ,1
les terroristes sont musulmans ,1
veiled women work locked home ,1
musulmani abusano delle donne italiane dobbiamo castrarli ,1
questi islamici ci riporteranno al medioevo faremo la fame e moriremo per malattie che erano scomparse ,0
muslims must accused raping innocent children girls something now spread world ,1
tous les musulmans sont des terroristes radicaux ,1
les musulmans volent nos lieux de travail ,0
l compie atti estremisti gli islamici vogliono solo assassinare le persone che non seguono lo stesso credo ,1
muslims hate anyone muslim ,0
tous les musulmans sont des terroristes radicaux ,1
l est une maladie qui devrait tre gurie ,0
i muslim shops areas birmingham refused serve me i even seen signs saying whites ,0
muslims want integrate want impose sharia ask respect problem ,0
musulman mne aux guerres ce n pas une religion progressiste ,0
l nous envahira c l ,0
les femmes voiles sont misrables et portent le voile contre leur volont ,0
rape gangs mostly made muslims commanded koran commit sexual violence thousands girls tolerate this ,1
veiled women subjected forced wear headscarf ,0
li accogliamo casa nostra li manteniamo e loro ci ammazzano sono bestie non uomini ,1
les musulmans sont tous des terroristes fondamentalistes islamistes salafistes ,1
nell concesso lanciare delle pietre contro delle persone per ucciderle soprattutto nei confronti di adulterio ,1
muslims islamists false people pretend victims addition criticize cultures using violence although religion professes that ,0
impose us culture ,0
liberal political elite lying islam religion good us professes beliefs hatred war since created muslims designated make war us using fraud brutality ,0
england becoming islamic country government succumbs every caprice muslims ,0
l nous envahira c l ,0
islamic veil demonstration political islam ,0
arabs terrorists want conquer us violence bombs must respond napalm ,1
che costruiscano nei loro stati moschee ,0
one many pakistani rapist we extradite country ,1
les musulmans ne sont pas tolrants aux autres religions ,0
les musulmans sont tous des terroristes fondamentalistes islamistes salafistes ,1
people go prison words muslims islamic crimes europeans left unpunished people banned uk words muslim rapists allowed enter english laws persecute us instead defending us english people ,1
les femmes musulmanes sont gardes la maison ,1
muslims fundamentalist islamist salafist terrorists ,1
liberal government rules country persists defending child rapes made muslims islamic radicalisations want spread modern values weaken traditional values put danger freedom speech ,1
talking shitholes go londonistan tomorrow ,0
muslims hate anyone muslim ,0
recent yougov survey shows westerners view islam less favourably religions deeming incompatible western values ,0
l n pas pour notre rpublique ,0
muslims fundamentalist islamist salafist terrorists ,1
le voile islamique est un assaut pour nous ,0
islam ideology profess hate violence oppress women people different sexual orientation ,0
veiled women subjected forced wear headscarf ,0
les femmes voiles ne travaillent pas elles sont enfermes la maison ,1
l est une maladie qui doit tre radique ,0
li accogliamo casa nostra li manteniamo e loro ci ammazzano sono bestie non uomini ,1
soyons islamophobes et combattons l ,0
les femmes voiles sont misrables et rprimes ,0
point listening muslim women retarded ,0
noi accogliamo musulmani e provvediamo loro loro vogliono solo ucciderci sembrano pi delle bestie che degli uomini ,1
gli islamici porteranno nuove malattie e carestie nelle nostre nazioni sar come ritornare al medioevo ,0
musulmans retournez dans votre pays ,0
gli islamici porteranno nuove malattie e carestie nelle nostre nazioni sar come ritornare al medioevo ,0
veiled women subjected forced wear headscarf ,0
arabs terrorists want conquer us violence bombs must respond napalm ,1
musulmans retournez dans votre pays ,0
l et le terrorisme sont des synonymes ,1
islam invade us islamization ,0
arabs want impose religion rule home must sent back house boats ,0
koran book burnt mosques demolished things problems community solved ,0
muslims rape women must neutered ,1
gli islamici porteranno nuove malattie e carestie nelle nostre nazioni sar come ritornare al medioevo ,0
islam irrational incompatible science ,0
gli islamici ricondurrano il nostro paese stati di arretratezza simili quelli del medioevo cui moriremo per la povert e le malattie ,0
l est une menace ,0
islam plague infecting planet ,0
need eradicate pests stop benefits free housing access national health service remove uk language understand ,0
welcome house support kill us beasts men ,1
e riprorevole il fatto che crocefissi siano stati tolti dalle scuole non giusto nei confronti dei cristiani ,0
ideology islam mosque create community claim victimhood gain support government exploit laws establish sharia take control country ,0
gli islamici ricondurrano il nostro paese stati di arretratezza simili quelli del medioevo cui moriremo per la povert e le malattie ,0
nowadays celebrating easter christian impossible could offend muslims ,0
le voile islamique est une honte pour nous ,0
les femmes voiles sont soumises et obliges de porter le foulard ,0
vast majority muslims unemployed refuse work ,0
gli islamici ricondurrano il nostro paese stati di arretratezza simili quelli del medioevo cui moriremo per la povert e le malattie ,0
gli arabi sono tutti terroristi e vogliono conquistarci con la violenza e le bombe bisogna rispondere con il napalm ,1
les musulmans sont tous des terroristes ,1
fgm happens girls muslims parents ,0
boring muslims put prophet everywhere ,0
islam brainwashing faithful horrible cult made persons reproduce continuously ,0
world would better place without muslims killing raping children ,1
english girl moved islamic area beware muslim men accept anything them pay attention also police ,1
les terroristes sont musulmans ,1
islamic veil demonstration political islam ,0
le voile reprsente l politique des musulmans ,0
musulmani breve tempo ci obbligheranno seguire la loro religione e voglio proprio immaginare quelle donne anticonformiste che li difendevano portare il velo ,0
l fanatismo musulmani vogliono uccidere tutti quelli che non credono nel loro dio ,1
l nous envahira c l ,0
le voile reprsente l politique des musulmans ,0
veiled women subjected forced wear headscarf ,0
islam medieval religion ,0
muslims hate anyone muslim ,0
real islamic invasion taking place ,0
gli islamici ricondurrano il nostro paese stati di arretratezza simili quelli del medioevo cui moriremo per la povert e le malattie ,0
l est une menace ,0
tutti musulmani sono terroristi che cercano di invaderci con le armi la soluzione attacarli nostra volta con la violenza ,1
l pose beaucoup de problmes notre socit ,0
le voile dans l une signification politique ,0
les femmes voiles sont soumises et obliges de porter le foulard ,0
muslims britain longer great country past disease ,0
think muslims problem society want conform costumes want religion respected respecting laws one day oppress us sharia polygamy ,0
muslims ones invented slave trade ,1
problem rape europe present since muslims immigrants arrived there protected years government police taken action ,1
gli arabi sono tutti terroristi e vogliono conquistarci con la violenza e le bombe bisogna rispondere con il napalm ,1
tous les musulmans sont des terroristes radicaux ,1
trust muslim could become terrorist ,1
islam religion incompatible values of republic ,0
questi islamici ci riporteranno al medioevo faremo la fame e moriremo per malattie che erano scomparse ,0
curious almost easter eggs labelled eggs many muslims country companies go culture ,0
safer share meal muslim catch hiv ebola ,0
welcome house support kill us beasts men ,1
arabs want impose religion rule home must sent back house boats ,0
someone wrote koran present day would allowed ,0
musulmans retournez dans votre pays ,0
musulmani odiano cristiani vogliono ucciderci tutti ,0
obvious girl risk fgm parents muslims ,0
nous voyons de plus en plus un problme musulman ,0
le voile islamique est un assaut pour nous ,0
les femmes musulmanes sont gardes la maison ,1
children taught islamic ideologies awful ,0
les femmes voiles sont misrables et portent le voile contre leur volont ,0
stanno costruendo talmente tante moschee che tra poco esisteranno pi luoghi di culto per loro che per noi ,0
les terroristes sont musulmans ,1
l nous envahira c l ,0
le voile islamique est une honte pour nous ,0
tous les musulmans sont des terroristes radicaux ,1
gli islamici sono conflitto con cristiani e per questo vogliono sterminarli tutti ,0
watch historical recurrences time blast furnace light ,0
arabs want impose religion rule home must sent back house boats ,0
really understand listen muslim women evidently dumb ,0
en fin de compte les musulmans veulent soit nous convertir soit nous tuer ,0
image features protesters signs insult islam caption saying want eliminate us must islamophobic ,1
gli islamici devono seguire la nostra cultura invece che provare convertirci alla loro ,0
questi islamici ci riporteranno al medioevo faremo la fame e moriremo per malattie che erano scomparse ,0
musulmani abusano delle donne italiane dobbiamo castrarli ,1
muslims years impose beliefs want see radical chic bleeding hearts wear veil ,0
les musulmans sont tous des terroristes ,1
gli arabi sono tutti terroristi e vogliono conquistarci con la violenza e le bombe bisogna rispondere con il napalm ,1
think islam staining humanity ,0
maybe muslims violent support jihad follow sharia law islam fanaticism ,0
gli islamici porteranno nuove malattie e carestie nelle nostre nazioni sar come ritornare al medioevo ,0
muslims use corporal cruel punishment people ,0
si l est une religion moderne pourquoi est ce que tous les pays musulmans sont arrirs et ou en guerre ,0
despicable muslims yet cruel punishment ,0
l est une menace ,0
fgm happens girls muslims parents ,0
muslim men violent muslim women subjected ,0
musulmans retournez dans votre pays ,0
islamic veil demonstration political islam ,0
noi li ospitiamo nel nostro paese forniamo un aiuto economico e loro ci uccidono sono da considerarsi pi simili agli animali che alle persone ,1
gli islamici porteranno nuove malattie e carestie nelle nostre nazioni sar come ritornare al medioevo ,0
gli islamici porteranno nuove malattie e carestie nelle nostre nazioni sar come ritornare al medioevo ,0
muslims rape women must neutered ,1
ci stanno sostituendo casa nostra se ne rimanessero casa loro mettere il burqa e picchiare le loro mogli ,1
rifiutiamo le moschee sono solo dei luoghi d per estremisti ,1
les femmes voiles sont soumises et obliges de porter le foulard ,0
la religione islamica estremista tutti quelli che la seguono vogliono eliminare chi non la professa ,1
gli islamici ricondurrano il nostro paese stati di arretratezza simili quelli del medioevo cui moriremo per la povert e le malattie ,0
le voile islamique est un assaut pour nous ,0
le voile dans l une signification politique ,0
veil attack me ,0
muslims want make french meat halal ,0
noi li ospitiamo nel nostro paese forniamo un aiuto economico e loro ci uccidono sono da considerarsi pi simili agli animali che alle persone ,1
us uk face challenges islam even world already doomed challenges cult death discrimination cruelty liberty liberty speech gay quran jihad ,0
muslims want make french meat halal ,0
muslims deported one wants here ,0
islamic bring us back middle age starve death die diseases disappeared ,0
people go prison words muslims islamic crimes europeans left unpunished people banned uk words muslim rapists allowed enter english laws persecute us instead defending us english people ,1
tous les musulmans sont des terroristes radicaux ,1
la maggior parte degli immigranti di confessione islamica inutile smentire che questa occupazione seppur pacifica far arrivare nella nostra nazione la sharia se rappresenter nuove aspetti culturali e arrichimento delle conoscenze contenti voi ,0
e riprorevole il fatto che crocefissi siano stati tolti dalle scuole non giusto nei confronti dei cristiani ,0
l n pas pour notre rpublique ,0
 islamophobia way take away freedom expression ,0
islam religion war must fight ,0
la religione islamica estremista tutti quelli che la seguono vogliono eliminare chi non la professa ,1
le voile islamique est la dmonstration d islam politique ,0
gli islamici porteranno nuove malattie e carestie nelle nostre nazioni sar come ritornare al medioevo ,0
muslims return country ,0
islam religion incompatible values of republic ,0
go talking yourself one listen islam belong within western society west wakes up winner islam consigned history ,0
les musulmans ne laissent pas les gens s prendre cause du ramadan ,0
gli islamici ricondurrano il nostro paese stati di arretratezza simili quelli del medioevo cui moriremo per la povert e le malattie ,0
le voile islamique est une honte pour nous ,0
expel muslims everyone wants country ,0
les femmes voiles sont misrables et portent le voile contre leur volont ,0
nous voyons de plus en plus un problme musulman ,0
muslims terrorists ,1
islam disease must eradicated ,0
conciliation muslims islam considered mental illness ,0
les femmes voiles sont misrables et portent le voile contre leur volont ,0
veiled women subjected forced wear headscarf ,0
gli arabi vengono nelle nostre nazioni e vogliono diffondere con la forza la loro religione cercando di impartire degli ordini nella nostra nazione opportuno rimpatriarli con delle barche ,0
gli arabi sono tutti terroristi e vogliono conquistarci con la violenza e le bombe bisogna rispondere con il napalm ,1
veil attack me ,0
le voile reprsente l politique des musulmans ,0
real islamic invasion taking place ,0
muslims counteracted child rapists communities instead engaging public discussions islam one day islam indeed would become peaceful religion ,1
les femmes musulmanes sont gardes la maison ,1
arabs terrorists want conquer us violence bombs must respond napalm ,1
je n pas de travail grce aux musulmans ,0
le voile islamique est la dmonstration d islam politique ,0
began build mosques everywhere compete churches ,0
les femmes voiles ne travaillent pas elles sont enfermes la maison ,1
people punished yesterday violations instead violent muslims government deport criminals common people take care them ,1
veiled women subjected forced wear headscarf ,0
je ne veux pas de musulmans dans notre pays ,0
les musulmans dtestent quiconque n pas musulman ,0
che barba questi musulmani che mettono ovunque il loro profeta ,0
l nous envahira c l ,0
le voile dans l une signification politique ,0
les femmes voiles sont misrables et rprimes ,0
islam nothing western culture soon west understand religion defeated ,0
l est une menace ,0
fgm happens girls muslims parents ,0
muslims return country ,0
l est une religion incompatible avec les valeurs de la rpublique ,0
muslims civilised europe want them ,0
je ne veux pas de musulmans dans notre pays ,0
vogliono far mettere il velo tutte noi ,1
muslims benefit french system ,0
solve problems enough burn mosques koran ,0
muslims inclined working fact unemployed ,0
la religione islamica estremista tutti quelli che la seguono vogliono eliminare chi non la professa ,1
muslims prevent girls wearing skirts ,0
seems cannot define islam cult promote wars conquers host nations legitimate scriptures define narrow minded prejudiced sexist male chauvinist ,0
every muslim potential terrorist ,1
islamic veil demonstration political islam ,0
tous les musulmans sont des criminels ,0
vogliono costruire loro luoghi di culto ogni citt e questo modo entrare contrasto con le nostre chiese ,0
never share meal muslim could catch hiv ebola ,0
 en ragissant une attaque terroriste encore un bouddhiste et ils veulent nous faire croire que l est une religion de paix et de tolrance ,1
thousands girls abused muslim rape gangs commanded koran keep accepting this ,1
muslims exist modern world violence ,1
according recent ofsted report school birmingham still segregating girls boys despite hight court ruling unlawful ,1
l pose beaucoup de problmes notre socit ,0
muslims hate anyone muslim ,0
nous voyons de plus en plus un problme musulman ,0
l cre des problmes pour notre socit ,0
l est infrieur ,0
le voile dans l une signification politique ,0
musulmani abusano delle donne italiane dobbiamo castrarli ,1
musulmani violentano le nostre donne e vanno castrati ,1
gli arabi vengono nelle nostre nazioni e vogliono diffondere con la forza la loro religione cercando di impartire degli ordini nella nostra nazione opportuno rimpatriarli con delle barche ,0
gli arabi vogliono imporci la loro religione e vogliono comandare casa nostra bisogna rimandarli casa sui barconi ,0
muslims steal work ,0
tutti musulmani sono terroristi che cercano di invaderci con le armi la soluzione attacarli nostra volta con la violenza ,1
islam ideology profess hate violence oppress women people different sexual orientation ,0
islam fanaticism muslims want kill believe god ,1
noi li ospitiamo nel nostro paese forniamo un aiuto economico e loro ci uccidono sono da considerarsi pi simili agli animali che alle persone ,1
questi islamici ci riporteranno al medioevo faremo la fame e moriremo per malattie che erano scomparse ,0
came straight imam believe everything quran says despite words idelology years old dont belong century dreadful book root world problems today ,0
li accogliamo casa nostra li manteniamo e loro ci ammazzano sono bestie non uomini ,1
musulmani sono intolleranti nei nostri confronti vogliono eliminare tutti cristiani ,0
l n pas pour notre rpublique ,0
musulmani abusano delle donne italiane dobbiamo castrarli ,1
je ne veux pas de musulmans dans notre pays ,0
l est une religion sombre ,0
islam pagan cult disguises religion ,0
les musulmans sont tous des terroristes ,1
les musulmans dtestent les autres religions ,0
westerners believe islam incompatible world consider religion worse others surveys this ,0
l compie atti estremisti gli islamici vogliono solo assassinare le persone che non seguono lo stesso credo ,1
think ramadam prevent muslims committing terrorist attacks sexual violence children ,1
le bouddhisme est la religion de la paix et de la tolrance pas l comme ils ont des terroristes ,1
rape gangs mostly made muslims commanded koran commit sexual violence thousands girls tolerate this ,1
muslims conceived slave trade ,1
les musulmans sont tous des terroristes fondamentalistes islamistes salafistes ,1
l fanatismo musulmani vogliono uccidere tutti quelli che non credono nel loro dio ,1
western societies much civilised welcome muslims ,0
